Instance,abstractMethods_max,abstractMethods_mean,defaultMethods_sum,anonymousClassesQty_sum,cbo_max,cbo_sum,comparisonsQty_max,defaultMethods_max,cbo_mean,Label
java-native-accessjna_4.4.0,3,4,0,310,76,6518,86,0,119,euclidean
java-native-accessjna_4.4.0,3,3,0,310,76,6518,86,0,76,euclidean
java-native-accessjna_4.4.0,4,4,0,266,119,4358,40,0,119,euclidean
java-native-accessjna_4.4.0,4,3,0,266,119,4358,40,0,76,euclidean
java-native-accessjna_4.4.0,4,4,0,266,119,4358,40,0,119,euclidean
java-native-accessjna_4.4.0,4,3,0,266,119,4358,40,0,76,euclidean
java-native-accessjna_4.4.0,3,4,0,266,76,4358,86,0,119,euclidean
java-native-accessjna_4.4.0,3,3,0,266,76,4358,86,0,76,euclidean
java-native-accessjna_4.4.0,3,4,0,266,76,4358,86,0,119,euclidean
java-native-accessjna_4.4.0,3,3,0,266,76,4358,86,0,76,euclidean
java-native-accessjna_4.5.0,4,4,0,310,119,6518,40,0,119,euclidean
java-native-accessjna_4.5.0,4,3,0,310,119,6518,40,0,76,euclidean
java-native-accessjna_4.5.0,4,4,0,310,119,6518,40,0,119,euclidean
java-native-accessjna_4.5.0,4,3,0,310,119,6518,40,0,76,euclidean
java-native-accessjna_4.5.0,3,4,0,310,76,6518,86,0,119,euclidean
java-native-accessjna_4.5.0,3,3,0,310,76,6518,86,0,76,euclidean
java-native-accessjna_4.5.0,3,4,0,310,76,6518,86,0,119,euclidean
java-native-accessjna_4.5.0,3,3,0,310,76,6518,86,0,76,euclidean
java-native-accessjna_4.5.0,4,4,0,269,119,4463,40,0,119,euclidean
java-native-accessjna_4.5.0,4,3,0,269,119,4463,40,0,76,euclidean
java-native-accessjna_4.5.0,4,4,0,269,119,4463,40,0,119,euclidean
java-native-accessjna_4.5.0,4,3,0,269,119,4463,40,0,76,euclidean
java-native-accessjna_4.5.0,3,4,0,269,76,4463,86,0,119,euclidean
java-native-accessjna_4.5.0,3,3,0,269,76,4463,86,0,76,euclidean
java-native-accessjna_4.5.0,3,4,0,269,76,4463,86,0,119,euclidean
java-native-accessjna_4.5.0,3,3,0,269,76,4463,86,0,76,euclidean
